Mine ID,Mine Name,Mine Status,Type of Mine,Street,City,State,Zip Code,Latitude,Longitude
3004097,QA451 SCREEN PLANT,Intermittent,Surface,2735 Military Turnpike,West Chazy,New York,12992.0,44.766737339308,-73.554764955375
3004102,FULLER'S GRAVEL MINE ,Intermittent,Surface,5253 Beach Road,Cincinnatus,New York,13040.0,42.485498062875,-75.930546463257
3004105,Fish Creek Sand & Gravel,Intermittent,Surface,11352 Murphy Rd,Ava,New York,13303.0,43.409948096942,-75.54832837929
3004106,Willseyville- Andrews Pit,Intermittent,Surface,275 Coddington Rd.,Willseyville,New York,13864.0,42.31045113484,-76.374292619342
3004111,Acme Sand Gravel,Intermittent,Surface,213 gildner rd,central square ny,New York,13036.0,43.26289643028,-76.167214285596
3004112,Lombardozzi Gravel Mine,Intermittent,Surface,10574 Griffin Rd,Clymer,New York,14724.0,42.080622703979,-79.746729663564
3004113,Wilson Gravel,Intermittent,Surface,11507 Canaseraga road ,Dansville,New York,14437.0,42.479568405851,-77.748790723673
3004114,Migonis Pit,Intermittent,Surface,2390 Smith Rd,Hamilton,New York,13332.0,42.839731654658,-75.57066482121
3004115,LSG 1,TempIdle,Surface,2082 Holman City Rd.,Clayville,New York,13322.0,42.964240744422,-75.230913254121
3004116,Shisler Rd. Pit,Intermittent,Surface,10005 Wehrle Dr.,Clarence,New York,14031.0,42.96244282389,-78.615166059589
3004124,Lyndaker Pit,Intermittent,Surface,1332 County Route 122,Mannsville,New York,13661.0,43.686773409996,-76.063584932737
3004129,ESTEC PORTABLE SCREEN,Intermittent,Surface,29 Brookwood Rd,Waterford,New York,12188.0,42.837722733804,-73.675671123685
3004130,GRAROK - NEW BREMEN,Intermittent,Surface,7474 HODGE ROAD,LOWVILLE,New York,13367.0,43.818447027317,-75.407277926733
3004131,CADYVILLE PIT,Intermittent,Surface,486 Route 374,cadyville,New York,12918.0,44.707991776929,-73.665775312384
3004135,MITCHELL CUSTOM,Intermittent,Surface,161 main st portable,Tupper Lake,New York,12986.0,44.244389208471,-74.488364357596
3004138,fullers jaw crusher serial # 70980,Intermittent,Surface,5226 Beach Road ,Cincinnatus ,New York,13040.0,42.487664370867,-75.932496873215
3004139,HEANEY BANK,Intermittent,Surface,212 Heaney Road,Maryland,New York,12116.0,42.514781565405,-74.912687403505
3004143,Crane Pond Pit,Intermittent,Surface,66 River Rd,Newton Falls,New York,13666.0,44.212297043744,-74.985117131219
3004144,GEORGE THOMPSON PIT,Intermittent,Surface,8 George Thompson Road,Mechanicville,New York,12118.0,42.926889803721,-73.720950194869
3004147,BATEMAN PIT,TempIdle,Surface,1936 Garnet Lake Rd,Johnsburg ,New York,12843.0,43.579503833399,-74.003797656739
