Year,State Coverage,Region,Quantity,Total Value
1991,South Carolina,South,24190000.0,103200000.0
1991,South Dakota,Midwest,12710000.0,40500000.0
1991,Tennessee,South,50180000.0,245100000.0
1991,Texas,South,101000000.0,363000000.0
1991,Utah,West,17550000.0,66500000.0
1991,Vermont,Northeast,5410000.0,22600000.0
1991,Virginia,South,57700000.0,297900000.0
1991,Washington,West,49600000.0,200600000.0
1991,West Virginia,South,13110000.0,64800000.0
1991,Wisconsin,Midwest,50600000.0,158000000.0
1991,Wyoming,West,6130000.0,24500000.0
1992,Alabama,South,37100000.0,218000000.0
1992,Alaska,West,16320000.0,56700000.0
1992,Arizona,West,35690000.0,150300000.0
1992,Arkansas,South,32800000.0,158600000.0
1992,California,West,139000000.0,720000000.0
1992,Colorado,West,37600000.0,165400000.0
1992,Connecticut,Northeast,10820000.0,84600000.0
1992,Delaware,South,2260000.0,8570000.0
1992,Florida,South,74900000.0,333100000.0
1992,Georgia,South,44310000.0,259600000.0
1992,Hawaii,West,9530000.0,93500000.0
1992,Idaho,West,17100000.0,59900000.0
1992,Illinois,Midwest,98400000.0,447000000.0
1992,Indiana,Midwest,65200000.0,273900000.0
1992,Iowa,Midwest,49800000.0,244400000.0
1992,Kansas,Midwest,26200000.0,116900000.0
1992,Kentucky,South,60010000.0,275400000.0
1992,Louisiana,South,11500000.0,48700000.0
1992,Maine,Northeast,7800000.0,38300000.0
1992,Maryland,South,32500000.0,249300000.0
1992,Massachusetts,Northeast,20340000.0,125900000.0
1992,Michigan,Midwest,78500000.0,269000000.0
1992,Minnesota,Midwest,43630000.0,138200000.0
1992,Mississippi,South,12670000.0,54500000.0
1992,Missouri,Midwest,55590000.0,213500000.0
1992,Montana,West,12100000.0,37600000.0
1992,Nebraska,Midwest,17350000.0,67200000.0
1992,Nevada,West,23090000.0,100300000.0
1992,New Hampshire,Northeast,7380000.0,36600000.0
1992,New Jersey,Northeast,30400000.0,206000000.0
1992,New Mexico,West,12920000.0,60600000.0
1992,New York,Northeast,61900000.0,343000000.0
1992,North Carolina,South,53380000.0,304700000.0
1992,North Dakota,Midwest,7930000.0,20600000.0
1992,Ohio,Midwest,86900000.0,373000000.0
1992,Oklahoma,South,33890000.0,129200000.0
1992,Oregon,West,30200000.0,144400000.0
1992,Pennsylvania,Northeast,82500000.0,474600000.0
1992,Rhode Island,Northeast,3590000.0,21500000.0
1992,South Carolina,South,22260000.0,103700000.0
1992,South Dakota,Midwest,11590000.0,41100000.0
1992,Tennessee,South,50090000.0,279100000.0
1992,Texas,South,106100000.0,419000000.0
1992,Utah,West,20810000.0,77200000.0
1992,Vermont,Northeast,5420000.0,23500000.0
1992,Virginia,South,51760000.0,298300000.0
1992,Washington,West,49300000.0,204200000.0
1992,West Virginia,South,11560000.0,63530000.0
1992,Wisconsin,Midwest,49500000.0,166400000.0
1992,Wyoming,West,6940000.0,13300000.0
1993,Alabama,South,39200000.0,215100000.0
1993,Alaska,West,16630000.0,67600000.0
1993,Arizona,West,41240000.0,173600000.0
1993,Arkansas,South,32300000.0,148900000.0
1993,California,West,135000000.0,728000000.0
1993,Colorado,West,39300000.0,180000000.0
1993,Connecticut,Northeast,11000000.0,74400000.0
1993,Delaware,South,2500000.0,10300000.0
1993,Florida,South,87700000.0,386100000.0
1993,Georgia,South,54000000.0,308600000.0
1993,Hawaii,West,8460000.0,81400000.0
1993,Idaho,West,18200000.0,65700000.0
1993,Illinois,Midwest,96000000.0,452000000.0
1993,Indiana,Midwest,63900000.0,269000000.0
1993,Iowa,Midwest,47100000.0,233700000.0
1993,Kansas,Midwest,30700000.0,121400000.0
1993,Kentucky,South,56700000.0,255900000.0
1993,Louisiana,South,11900000.0,51500000.0
1993,Maine,Northeast,6230000.0,29300000.0
1993,Maryland,South,32200000.0,211200000.0
1993,Massachusetts,Northeast,20260000.0,127600000.0
1993,Michigan,Midwest,76000000.0,270000000.0
1993,Minnesota,Midwest,39920000.0,123100000.0
1993,Mississippi,South,16600000.0,65420000.0
1993,Missouri,Midwest,59800000.0,258800000.0
1993,Montana,West,12820000.0,42400000.0
1993,Nebraska,Midwest,19660000.0,80800000.0
1993,Nevada,West,26510000.0,120500000.0
1993,New Hampshire,Northeast,6190000.0,28490000.0
1993,New Jersey,Northeast,31400000.0,218100000.0
1993,New Mexico,West,14680000.0,70100000.0
1993,New York,Northeast,73300000.0,385000000.0
1993,North Carolina,South,58900000.0,351800000.0
1993,North Dakota,Midwest,7700000.0,20400000.0
1993,Ohio,Midwest,98200000.0,430000000.0
1993,Oklahoma,South,36800000.0,141300000.0
1993,Oregon,West,34700000.0,159500000.0
1993,Pennsylvania,Northeast,86200000.0,492900000.0
1993,Rhode Island,Northeast,3790000.0,23150000.0
1993,South Carolina,South,26600000.0,142800000.0
1993,South Dakota,Midwest,12530000.0,43700000.0
1993,Tennessee,South,50700000.0,261000000.0
1993,Texas,South,118800000.0,476000000.0
1993,Utah,West,20560000.0,85400000.0
1993,Vermont,Northeast,5520000.0,23300000.0
1993,Virginia,South,60000000.0,332500000.0
1993,Washington,West,53400000.0,226600000.0
1993,West Virginia,South,11700000.0,86400000.0
1993,Wisconsin,Midwest,53800000.0,180800000.0
1993,Wyoming,West,6860000.0,34800000.0
1994,Alabama,South,45000000.0,211600000.0
1994,Alaska,West,19570000.0,80300000.0
1994,Arizona,West,39770000.0,191000000.0
1994,Arkansas,South,31400000.0,164500000.0
1994,California,West,137400000.0,781000000.0
1994,Colorado,West,37260000.0,161300000.0
1994,Connecticut,Northeast,11130000.0,71900000.0
1994,Delaware,South,2580000.0,8680000.0
1994,Florida,South,82900000.0,403700000.0
1994,Georgia,South,60120000.0,350800000.0
1994,Hawaii,West,8691000.0,87040000.0
1994,Idaho,West,18660000.0,66600000.0
1994,Illinois,Midwest,100500000.0,503000000.0
1994,Indiana,Midwest,74000000.0,319000000.0
1994,Iowa,Midwest,51900000.0,269200000.0
1994,Kansas,Midwest,32700000.0,132600000.0
1994,Kentucky,South,65440000.0,291200000.0
1994,Louisiana,South,13007000.0,57310000.0
1994,Maine,Northeast,8630000.0,39900000.0
1994,Maryland,South,32120000.0,218200000.0
1994,Massachusetts,Northeast,22700000.0,156800000.0
1994,Michigan,Midwest,83800000.0,273000000.0
1994,Minnesota,Midwest,40400000.0,137100000.0
1994,Mississippi,South,14300000.0,60700000.0
1994,Missouri,Midwest,78660000.0,366500000.0
1994,Montana,West,9680000.0,37630000.0
1994,Nebraska,Midwest,21890000.0,90800000.0
