Year,State Coverage,Region,Commodity,Quantity,Data Description,Total Value
2021,North Dakota,Midwest,"Aggregates, construction",10900000.0,Construction sand and gravel,60300000.0
2021,Ohio,Midwest,"Aggregates, construction",33400000.0,Construction sand and gravel,348000000.0
2021,Oklahoma,South,"Aggregates, construction",11400000.0,Construction sand and gravel,108000000.0
2021,Oregon,West,"Aggregates, construction",16100000.0,Construction sand and gravel,197000000.0
2021,Pennsylvania,Northeast,"Aggregates, construction",9600000.0,Construction sand and gravel,105000000.0
2021,Rhode Island,Northeast,"Aggregates, construction",3540000.0,Construction sand and gravel,59700000.0
2021,South Carolina,South,"Aggregates, construction",10100000.0,Construction sand and gravel,80400000.0
2021,South Dakota,Midwest,"Aggregates, construction",10700000.0,Construction sand and gravel,60300000.0
2021,Tennessee,South,"Aggregates, construction",7550000.0,Construction sand and gravel,108000000.0
2021,Texas,South,"Aggregates, construction",93600000.0,Construction sand and gravel,986000000.0
2021,Utah,West,"Aggregates, construction",37400000.0,Construction sand and gravel,363000000.0
2021,Vermont,Northeast,"Aggregates, construction",5070000.0,Construction sand and gravel,52100000.0
2021,Virginia,South,"Aggregates, construction",8610000.0,Construction sand and gravel,122000000.0
2021,Washington,West,"Aggregates, construction",35500000.0,Construction sand and gravel,442000000.0
2021,West Virginia,South,"Aggregates, construction",587000.0,Construction sand and gravel,5190000.0
2021,Wisconsin,Midwest,"Aggregates, construction",29400000.0,Construction sand and gravel,200000000.0
2021,Wyoming,West,"Aggregates, construction",12600000.0,Construction sand and gravel,119000000.0
2020,Alabama,South,"Aggregates, construction",13500000.0,Construction sand and gravel,126000000.0
2020,Alaska,West,"Aggregates, construction",5940000.0,Construction sand and gravel,55500000.0
2020,Arizona,West,"Aggregates, construction",46800000.0,Construction sand and gravel,544000000.0
2020,Arkansas,South,"Aggregates, construction",7070000.0,Construction sand and gravel,69500000.0
2020,California,West,"Aggregates, construction",96500000.0,Construction sand and gravel,1410000000.0
2020,Colorado,West,"Aggregates, construction",33500000.0,Construction sand and gravel,332000000.0
2020,Connecticut,Northeast,"Aggregates, construction",4500000.0,Construction sand and gravel,50000000.0
2020,Delaware,South,"Aggregates, construction",2690000.0,Construction sand and gravel,25800000.0
2020,Florida,South,"Aggregates, construction",23800000.0,Construction sand and gravel,312000000.0
2020,Georgia,South,"Aggregates, construction",6350000.0,Construction sand and gravel,48200000.0
2020,Hawaii,West,"Aggregates, construction",112000.0,Construction sand and gravel,2930000.0
2020,Idaho,West,"Aggregates, construction",22700000.0,Construction sand and gravel,169000000.0
2020,Illinois,Midwest,"Aggregates, construction",19000000.0,Construction sand and gravel,170000000.0
2020,Indiana,Midwest,"Aggregates, construction",16900000.0,Construction sand and gravel,157000000.0
2020,Iowa,Midwest,"Aggregates, construction",13600000.0,Construction sand and gravel,117000000.0
2020,Kansas,Midwest,"Aggregates, construction",10400000.0,Construction sand and gravel,80100000.0
2020,Kentucky,South,"Aggregates, construction",8380000.0,Construction sand and gravel,72900000.0
2020,Louisiana,South,"Aggregates, construction",12200000.0,Construction sand and gravel,174000000.0
